@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.99302,0.6,0.4,-0.939499
0,-0.990305,0.6,0.6,-0.700598
0,-0.983435,0.6,0.8,-0.666365
0,-0.980993,0.6,1,-0.877745
0,-0.984405,0.8,-1,-1.026055
0,-0.998675,0.8,-0.8,-1.130204
0,-0.998446,0.8,-0.6,-1.245967
0,-0.998275,0.8,-0.4,-1.085481
0,-0.997757,0.8,-0.2,-1.008687
0,-0.996282,0.8,0,-0.99796
0,-0.994685,0.8,0.2,-0.943759
0,-0.991962,0.8,0.4,-0.921602
0,-0.989999,0.8,0.6,-0.801969
0,-0.985153,0.8,0.8,-0.735327
0,-0.982855,0.8,1,0
0,-0.969404,1,-1,-1.115919
0,-1.002044,1,-0.8,-1.096971
0,-0.998345,1,-0.6,-1.057532
0,-0.998082,1,-0.4,-1.13599
0,-0.998172,1,-0.2,-1.00979
0,-0.996281,1,0,-0.997868
0,-0.994547,1,0.2,-0.980608
0,-0.99259,1,0.4,-0.809217
0,-0.987607,1,0.6,-0.833901
0,-0.986255,1,0.8,-0.835121
0,-0.984845,1,1,-0.779571
0,-0.961091,-1,-1,0
0,-0.935609,-1,-0.8,-0.420652
0,-0.95591,-1,-0.6,-0.750071
0,-0.967721,-1,-0.4,-0.873394
0,-0.97409,-1,-0.2,-0.887388
0,-0.977449,-1,0,-0.976681
0,-0.983721,-1,0.2,-1.002243
0,-0.987863,-1,0.4,-1.008575
0,-0.990403,-1,0.6,-1.307162
0,-0.996556,-1,0.8,-1.161377
0,-0.996163,-1,1,-1.121427
0,-0.99639,-0.8,-1,-0.829024
0,-0.959448,-0.8,-0.8,0
0,-0.950972,-0.8,-0.6,-0.741866
0,-0.967833,-0.8,-0.4,-0.884046
0,-0.974906,-0.8,-0.2,-0.939657
0,-0.979312,-0.8,0,-0.979464
0,-0.983408,-0.8,0.2,-1.002332
0,-0.987769,-0.8,0.4,-1.011936
0,-0.990435,-0.8,0.6,-1.028802
0,-0.992797,-0.8,0.8,-1.290664
0,-0.997362,-0.8,1,-1.141246
0,-0.996426,-0.6,-1,-0.820589
0,-0.959566,-0.6,-0.8,-0.762552
0,-0.965212,-0.6,-0.6,-0.873517
0,-0.972969,-0.6,-0.4,-0.749444
0,-0.96995,-0.6,-0.2,-0.900148
0,-0.97788,-0.6,0,-0.97706
0,-0.983178,-0.6,0.2,-0.998062
0,-0.987358,-0.6,0.4,-1.02053
0,-0.9912,-0.6,0.6,-1.018604
0,-0.992364,-0.6,0.8,-1.042344
0,-0.994085,-0.6,1,-1.173198
0,-0.997038,-0.4,-1,-0.969662
0,-0.971834,-0.4,-0.8,-0.604917
0,-0.960972,-0.4,-0.6,-0.808651
0,-0.971498,-0.4,-0.4,-0.905006
0,-0.976163,-0.4,-0.2,-0.95398
0,-0.98033,-0.4,0,-0.980041
0,-0.983185,-0.4,0.2,-0.995979
0,-0.98656,-0.4,0.4,-1.002331
0,-0.988362,-0.4,0.6,-1.00572
0,-0.989923,-0.4,0.8,-1.048079
0,-0.993266,-0.4,1,-1.371719
0,-0.997613,-0.2,-1,-0.912472
0,-0.972008,-0.2,-0.8,-0.950501
0,-0.979385,-0.2,-0.6,-0.946871
0,-0.978956,-0.2,-0.4,-0.941508
0,-0.98,-0.2,-0.2,-0.942017
0,-0.980444,-0.2,0,-0.979715
0,-0.983158,-0.2,0.2,-0.995761
0,-0.986025,-0.2,0.4,-0.99762
0,-0.987256,-0.2,0.6,-1.005294
0,-0.988288,-0.2,0.8,-1.016511
0,-0.990168,-0.2,1,-1.029573
0,-0.991426,0,-1,-0.992042
0,-0.983074,0,-0.8,-0.984352
0,-0.983487,0,-0.6,-0.983834
0,-0.984024,0,-0.4,-0.984012
0,-0.982806,0,-0.2,-0.982751
0,-0.983524,0,0,-0.983532
0,-0.983331,0,0.2,-0.983688
0,-0.982899,0,0.4,-0.982575
